
  dataRowsPerSlice 	 11 	  
   6.16,    5.39,    4.69,    4.12,    3.74,    3.61,    3.74,    4.12,    4.69,    5.39,    6.16
   5.92,    5.10,    4.36,    3.74,    3.32,    3.16,    3.32,    3.74,    4.36,    5.10,    5.92
   5.83,    5.00,    4.24,    3.61,    3.16,    3.00,    3.16,    3.61,    4.24,    5.00,    5.83
   5.92,    5.10,    4.36,    3.74,    3.32,    3.16,    3.32,    3.74,    4.36,    5.10,    5.92
   6.16,    5.39,    4.69,    4.12,    3.74,    3.61,    3.74,    4.12,    4.69,    5.39,    6.16
   6.56,    5.83,    5.20,    4.69,    4.36,    4.24,    4.36,    4.69,    5.20,    5.83,    6.56
   7.07,    6.40,    5.83,    5.39,    5.10,    5.00,    5.10,    5.39,    5.83,    6.40,    7.07
   7.68,    7.07,    6.56,    6.16,    5.92,    5.83,    5.92,    6.16,    6.56,    7.07,    7.68
    

   7.35,    6.71,    6.16,    5.74,    5.48,    5.39,    5.48,    5.74,    6.16,    6.71,    7.35
   6.71,    6.00,    5.39,    4.90,    4.58,    4.47,    4.58,    4.90,    5.39,    6.00,    6.71
   6.16,    5.39,    4.69,    4.12,    3.74,    3.61,    3.74,    4.12,    4.69,    5.39,    6.16
   5.74,    4.90,    4.12,    3.46,    3.00,    2.83,    3.00,    3.46,    4.12,    4.90,    5.74
   5.48,    4.58,    3.74,    3.00,    2.45,    2.24,    2.45,    3.00,    3.74,    4.58,    5.48
   5.39,    4.47,    3.61,    2.83,    2.24,    2.00,    2.24,    2.83,    3.61,    4.47,    5.39
   5.48,    4.58,    3.74,    3.00,    2.45,    2.24,    2.45,    3.00,    3.74,    4.58,    5.48
   5.74,    4.90,    4.12,    3.46,    3.00,    2.83,    3.00,    3.46,    4.12,    4.90,    5.74
   6.16,    5.39,    4.69,    4.12,    3.74,    3.61,    3.74,    4.12,    4.69,    5.39,    6.16
   6.71,    6.00,    5.39,    4.90,    4.58,    4.47,    4.58,    4.90,    5.39,    6.00,    6.71
   7.35,    6.71,    6.16,    5.74,    5.48,    5.39,    5.48,    5.74,    6.16,    6.71,    7.35
    

   7.14,    6.48,    5.92,    5.48,    5.20,    5.10,    5.20,    5.48,    5.92,    6.48,    7.14
   6.48,    5.74,    5.10,    4.58,    4.24,    4.12,    4.24,    4.58,    5.10,    5.74,    6.48
   5.92,    5.10,    4.36,    3.74,    3.32,    3.16,    3.32,    3.74,    4.36,    5.10,    5.92
   5.48,    4.58,    3.74,    3.00,    2.45,    2.24,    2.45,    3.00,    3.74,    4.58,    5.48
   5.20,    4.24,    3.32,    2.45,    1.73,    1.41,    1.73,    2.45,    3.32,    4.24,    5.20
   5.10,    4.12,    3.16,    2.24,    1.41,    1.00,    1.41,    2.24,    3.16,    4.12,    5.10
   5.20,    4.24,    3.32,    2.45,    1.73,    1.41,    1.73,    2.45,    3.32,    4.24,    5.20
   5.48,    4.58,    3.74,    3.00,    2.45,    2.24,    2.45,    3.00,    3.74,    4.58,    5.48
   5.92,    5.10,    4.36,    3.74,    3.32,    3.16,    3.32,    3.74,    4.36,    5.10,    5.92
   6.48,    5.74,    5.10,    4.58,    4.24,    4.12,    4.24,    4.58,    5.10,    5.74,    6.48
   7.14,    6.48,    5.92,    5.48,    5.20,    5.10,    5.20,    5.48,    5.92,    6.48,    7.14
    

   7.07,    6.40,    5.83,    5.39,    5.10,    5.00,    5.10,    5.39,    5.83,    6.40,    7.07
   6.40,    5.66,    5.00,    4.47,    4.12,    4.00,    4.12,    4.47,    5.00,    5.66,    6.40
   5.83,    5.00,    4.24,    3.61,    3.16,    3.00,    3.16,    3.61,    4.24,    5.00,    5.83
   5.39,    4.47,    3.61,    2.83,    2.24,    2.00,    2.24,    2.83,    3.61,    4.47,    5.39
   5.10,    4.12,    3.16,    2.24,    1.41,    1.00,    1.41,    2.24,    3.16,    4.12,    5.10
   5.00,    4.00,    3.00,    2.00,    1.00,    0.00,    1.00,    2.00,    3.00,    4.00,    5.00
   5.10,    4.12,    3.16,    2.24,    1.41,    1.00,    1.41,    2.24,    3.16,    4.12,    5.10
   5.39,    4.47,    3.61,    2.83,    2.24,    2.00,    2.24,    2.83,    3.61,    4.47,    5.39
   5.83,    5.00,    4.24,    3.61,    3.16,    3.00,    3.16,    3.61,    4.24,    5.00,    5.83
   6.40,    5.66,    5.00,    4.47,    4.12,    4.00,    4.12,    4.47,    5.00,    5.66,    6.40
   7.07,    6.40,    5.83,    5.39,    5.10,    5.00,    5.10,    5.39,    5.83,    6.40,    7.07
    

   7.14,    6.48,    5.92,    5.48,    5.20,    5.10,    5.20,    5.48,    5.92,    6.48,    7.14
   6.48,    5.74,    5.10,    4.58,    4.24,    4.12,    4.24,    4.58,    5.10,    5.74,    6.48
   5.92,    5.10,    4.36,    3.74,    3.32,    3.16,    3.32,    3.74,    4.36,    5.10,    5.92
   5.48,    4.58,    3.74,    3.00,    2.45,    2.24,    2.45,    3.00,    3.74,    4.58,    5.48
   5.20,    4.24,    3.32,    2.45,    1.73,    1.41,    1.73,    2.45,    3.32,    4.24,    5.20
   5.10,    4.12,    3.16,    2.24,    1.41,    1.00,    1.41,    2.24,    3.16,    4.12,    5.10
   5.20,    4.24,    3.32,    2.45,    1.73,    1.41,    1.73,    2.45,    3.32,    4.24,    5.20
   5.48,    4.58,    3.74,    3.00,    2.45,    2.24,    2.45,    3.00,    3.74,    4.58,    5.48
   5.92,    5.10,    4.36,    3.74,    3.32,    3.16,    3.32,    3.74,    4.36,    5.10,    5.92
   6.48,    5.74,    5.10,    4.58,    4.24,    4.12,    4.24,    4.58,    5.10,    5.74,    6.48
   7.14,    6.48,    5.92,    5.48,    5.20,    5.10,    5.20,    5.48,    5.92,    6.48,    7.14
    

   7.35,    6.71,    6.16,    5.74,    5.48,    5.39,    5.48,    5.74,    6.16,    6.71,    7.35
   6.71,    6.00,    5.39,    4.90,    4.58,    4.47,    4.58,    4.90,    5.39,    6.00,    6.71
   6.16,    5.39,    4.69,    4.12,    3.74,    3.61,    3.74,    4.12,    4.69,    5.39,    6.16
   5.74,    4.90,    4.12,    3.46,    3.00,    2.83,    3.00,    3.46,    4.12,    4.90,    5.74
   5.48,    4.58,    3.74,    3.00,    2.45,    2.24,    2.45,    3.00,    3.74,    4.58,    5.48
   5.39,    4.47,    3.61,    2.83,    2.24,    2.00,    2.24,    2.83,    3.61,    4.47,    5.39
   5.48,    4.58,    3.74,    3.00,    2.45,    2.24,    2.45,    3.00,    3.74,    4.58,    5.48
   5.74,    4.90,    4.12,    3.46,    3.00,    2.83,    3.00,    3.46,    4.12,    4.90,    5.74
   6.16,    5.39,    4.69,    4.12,    3.74,    3.61,    3.74,    4.12,    4.69,    5.39,    6.16
   6.71,    6.00,    5.39,    4.90,    4.58,    4.47,    4.58,    4.90,    5.39,    6.00,    6.71
   7.35,    6.71,    6.16,    5.74,    5.48,    5.39,    5.48,    5.74,    6.16,    6.71,    7.35
    

   7.68,    7.07,    6.56,    6.16,    5.92,    5.83,    5.92,    6.16,    6.56,    7.07,    7.68
   7.07,    6.40,    5.83,    5.39,    5.10,    5.00,    5.10,    5.39,    5.83,    6.40,    7.07
   6.56,    5.83,    5.20,    4.69,    4.36,    4.24,    4.36,    4.69,    5.20,    5.83,    6.56
   6.16,    5.39,    4.69,    4.12,    3.74,    3.61,    3.74,    4.12,    4.69,    5.39,    6.16
   5.92,    5.10,    4.36,    3.74,    3.32,    3.16,    3.32,    3.74,    4.36,    5.10,    5.92
   5.83,    5.00,    4.24,    3.61,    3.16,    3.00,    3.16,    3.61,    4.24,    5.00,    5.83
   5.92,    5.10,    4.36,    3.74,    3.32,    3.16,    3.32,    3.74,    4.36,    5.10,    5.92
   6.16,    5.39,    4.69,    4.12,    3.74,    3.61,    3.74,    4.12,    4.69,    5.39,    6.16
   6.56,    5.83,    5.20,    4.69,    4.36,    4.24,    4.36,    4.69,    5.20,    5.83,    6.56
   7.07,    6.40,    5.83,    5.39,    5.10,    5.00,    5.10,    5.39,    5.83,    6.40,    7.07
   7.68,    7.07,    6.56,    6.16,    5.92,    5.83,    5.92,    6.16,    6.56,    7.07,    7.68
    

   8.12,    7.55,    7.07,    6.71,    6.48,    6.40,    6.48,    6.71,    7.07,    7.55,    8.12
   7.55,    6.93,    6.40,    6.00,    5.74,    5.66,    5.74,    6.00,    6.40,    6.93,    7.55
   7.07,    6.40,    5.83,    5.39,    5.10,    5.00,    5.10,    5.39,    5.83,    6.40,    7.07
   6.71,    6.00,    5.39,    4.90,    4.58,    4.47,    4.58,    4.90,    5.39,    6.00,    6.71
   6.48,    5.74,    5.10,    4.58,    4.24,    4.12,    4.24,    4.58,    5.10,    5.74,    6.48
   6.40,    5.66,    5.00,    4.47,    4.12,    4.00,    4.12,    4.47,    5.00,    5.66,    6.40
   6.48,    5.74,    5.10,    4.58,    4.24,    4.12,    4.24,    4.58,    5.10,    5.74,    6.48
   6.71,    6.00,    5.39,    4.90,    4.58,    4.47,    4.58,    4.90,    5.39,    6.00,    6.71
   7.07,    6.40,    5.83,    5.39,    5.10,    5.00,    5.10,    5.39,    5.83,    6.40,    7.07
   7.55,    6.93,    6.40,    6.00,    5.74,    5.66,    5.74,    6.00,    6.40,    6.93,    7.55
   8.12,    7.55,    7.07,    6.71,    6.48,    6.40,    6.48,    6.71,    7.07,    7.55,    8.12
    

   8.66,    8.12,    7.68,    7.35,    7.14,    7.07,    7.14,    7.35,    7.68,    8.12,    8.66
   8.12,    7.55,    7.07,    6.71,    6.48,    6.40,    6.48,    6.71,    7.07,    7.55,    8.12
   7.68,    7.07,    6.56,    6.16,    5.92,    5.83,    5.92,    6.16,    6.56,    7.07,    7.68
   7.35,    6.71,    6.16,    5.74,    5.48,    5.39,    5.48,    5.74,    6.16,    6.71,    7.35
   7.14,    6.48,    5.92,    5.48,    5.20,    5.10,    5.20,    5.48,    5.92,    6.48,    7.14
   7.07,    6.40,    5.83,    5.39,    5.10,    5.00,    5.10,    5.39,    5.83,    6.40,    7.07
   7.14,    6.48,    5.92,    5.48,    5.20,    5.10,    5.20,    5.48,    5.92,    6.48,    7.14
   7.35,    6.71,    6.16,    5.74,    5.48,    5.39,    5.48,    5.74,    6.16,    6.71,    7.35
   7.68,    7.07,    6.56,    6.16,    5.92,    5.83,    5.92,    6.16,    6.56,    7.07,    7.68
   8.12,    7.55,    7.07,    6.71,    6.48,    6.40,    6.48,    6.71,    7.07,    7.55,    8.12
   8.66,    8.12,    7.68,    7.35,    7.14,    7.07,    7.14,    7.35,    7.68,    8.12,    8.66
    

